time;r_1_1;r_1_2;r_1_3;r_2_1;r_2_2;r_2_3;r_3_1;r_3_2;r_3_3;r_4_1;r_4_2;r_4_3
2.3999998569488525e+00;-6.7368499934673309e-02;1.4693917036056519e+00;0.0000000000000000e+00;-1.4693917036056519e+00;-6.7368499934673309e-02;0.0000000000000000e+00;6.7368499934673309e-02;-1.4693917036056519e+00;0.0000000000000000e+00;1.4693917036056519e+00;6.7368499934673309e-02;0.0000000000000000e+00;
2.4999997615814209e+00;-1.2963335216045380e-01;1.4927787780761719e+00;0.0000000000000000e+00;-1.4927787780761719e+00;-1.2963335216045380e-01;0.0000000000000000e+00;1.2963335216045380e-01;-1.4927787780761719e+00;0.0000000000000000e+00;1.4927787780761719e+00;1.2963335216045380e-01;0.0000000000000000e+00;
2.5999996662139893e+00;-1.9168014824390411e-01;1.5136715173721313e+00;0.0000000000000000e+00;-1.5136715173721313e+00;-1.9168014824390411e-01;0.0000000000000000e+00;1.9168014824390411e-01;-1.5136715173721313e+00;0.0000000000000000e+00;1.5136715173721313e+00;1.9168014824390411e-01;0.0000000000000000e+00;
2.6999995708465576e+00;-2.5342226028442383e-01;1.5321687459945679e+00;0.0000000000000000e+00;-1.5321687459945679e+00;-2.5342226028442383e-01;0.0000000000000000e+00;2.5342226028442383e-01;-1.5321687459945679e+00;0.0000000000000000e+00;1.5321687459945679e+00;2.5342226028442383e-01;0.0000000000000000e+00;
2.7999994754791260e+00;-3.1478279829025269e-01;1.5483664274215698e+00;0.0000000000000000e+00;-1.5483664274215698e+00;-3.1478279829025269e-01;0.0000000000000000e+00;3.1478279829025269e-01;-1.5483664274215698e+00;0.0000000000000000e+00;1.5483664274215698e+00;3.1478279829025269e-01;0.0000000000000000e+00;
2.8999993801116943e+00;-3.7569364905357361e-01;1.5623576641082764e+00;0.0000000000000000e+00;-1.5623576641082764e+00;-3.7569364905357361e-01;0.0000000000000000e+00;3.7569364905357361e-01;-1.5623576641082764e+00;0.0000000000000000e+00;1.5623576641082764e+00;3.7569364905357361e-01;0.0000000000000000e+00;
2.9999992847442627e+00;-4.3609449267387390e-01;1.5742322206497192e+00;0.0000000000000000e+00;-1.5742322206497192e+00;-4.3609449267387390e-01;0.0000000000000000e+00;4.3609449267387390e-01;-1.5742322206497192e+00;0.0000000000000000e+00;1.5742322206497192e+00;4.3609449267387390e-01;0.0000000000000000e+00;
3.0999991893768311e+00;-4.9593198299407959e-01;1.5840765237808228e+00;0.0000000000000000e+00;-1.5840765237808228e+00;-4.9593198299407959e-01;0.0000000000000000e+00;4.9593198299407959e-01;-1.5840765237808228e+00;0.0000000000000000e+00;1.5840765237808228e+00;4.9593198299407959e-01;0.0000000000000000e+00;
3.1999990940093994e+00;-5.5515903234481812e-01;1.5919737815856934e+00;0.0000000000000000e+00;-1.5919737815856934e+00;-5.5515903234481812e-01;0.0000000000000000e+00;5.5515903234481812e-01;-1.5919737815856934e+00;0.0000000000000000e+00;1.5919737815856934e+00;5.5515903234481812e-01;0.0000000000000000e+00;
3.2999989986419678e+00;-6.1373412609100342e-01;1.5980037450790405e+00;0.0000000000000000e+00;-1.5980037450790405e+00;-6.1373412609100342e-01;0.0000000000000000e+00;6.1373412609100342e-01;-1.5980037450790405e+00;0.0000000000000000e+00;1.5980037450790405e+00;6.1373412609100342e-01;0.0000000000000000e+00;
